filename,umap_x,umap_y,cluster_id
100_V1_o2sat.png,0.6302485,4.014846,6
100_V2_o2sat.png,0.99128205,3.3743157,-1
100_V3_o2sat.png,2.3789601,4.458853,9
101_V1_o2sat.png,1.3409196,4.0263896,9
102_V1_o2sat.png,-0.108952194,1.8260835,4
103_V1_o2sat.png,0.38013634,3.3945386,10
104_V1_o2sat.png,1.6131288,3.9655738,9
104_V2_o2sat.png,-0.19132961,2.0976717,4
105_V1_o2sat.png,5.5349536,2.203695,3
105_V2_o2sat.png,6.5961404,2.7764053,3
107_V1_o2sat.png,5.0656114,3.5323899,-1
10_V1_o2sat.png,5.0577145,2.26961,3
10_V2_o2sat.png,4.2310576,2.0926132,-1
10_V3_o2sat.png,4.5600176,2.2376988,-1
10_V4_o2sat.png,0.49390453,2.848321,-1
10_V5_o2sat.png,1.6715736,1.4773403,-1
11_V1_o2sat.png,1.5279447,4.0074134,9
11_V3_o2sat.png,1.4648002,3.587517,9
12_V1_o2sat.png,3.3197508,4.7156506,1
13_V1_o2sat.png,6.5667124,3.7590709,3
13_V2_o2sat.png,6.712862,3.6313019,3
13_V3_o2sat.png,6.3906093,3.3157365,3
13_V4_o2sat.png,6.3740225,3.2831664,3
13_V5_o2sat.png,6.695825,3.3603296,3
13_V6_o2sat.png,6.5354543,3.1995807,3
14_V1_o2sat.png,1.8337382,1.881594,11
14_V2_o2sat.png,1.9257232,2.114338,11
15_V1_o2sat.png,0.90137786,4.142426,-1
15_V2_o2sat.png,0.082187094,3.7707303,10
15_V3_o2sat.png,1.9463397,4.663055,-1
16_V1_o2sat.png,1.604109,3.835383,9
16_V2_o2sat.png,0.7720869,2.8334982,10
16_V4_o2sat.png,2.6319478,2.3313365,-1
17_V2_o2sat.png,0.6586584,3.6494591,10
17_V3_o2sat.png,-0.47302058,5.223062,5
17_V4_o2sat.png,1.2456875,3.4684632,-1
17_V5_o2sat.png,-0.26735073,5.1592426,5
17_V6_o2sat.png,1.8216571,4.957203,8
18_V3_o2sat.png,1.5480965,1.649709,11
19_V1_o2sat.png,6.1545568,2.4773386,3
19_V2_o2sat.png,3.4935966,5.5005455,0
1_V1_o2sat.png,-0.36037865,3.117397,-1
1_V2_o2sat.png,3.008287,2.814481,7
1_V3_o2sat.png,2.207819,2.7152677,11
